# epoch, loss:  106 0.024301710159138398
# epoch, loss:  107 0.024305281608744903
# epoch, loss:  108 0.025054055507536286
# epoch, loss:  109 0.024487063150714944
# epoch, loss:  110 0.025054407030068063
# epoch, loss:  111 0.025295385263032384
# epoch, loss:  112 0.023315392365610157
A checkpoint is saved at # epoch!  112
# epoch, loss:  113 0.02311301189992163
A checkpoint is saved at # epoch!  113
# epoch, loss:  114 0.02374799987646165
# epoch, loss:  115 0.02384080875802923
# epoch, loss:  116 0.022912156285235175
A checkpoint is saved at # epoch!  116
# epoch, loss:  117 0.023171217974137376
# epoch, loss:  118 0.022669830669959385
A checkpoint is saved at # epoch!  118
# epoch, loss:  119 0.021660466850907716
A checkpoint is saved at # epoch!  119
# epoch, loss:  120 0.022174853417608473
# epoch, loss:  121 0.021291390406312765
A checkpoint is saved at # epoch!  121
# epoch, loss:  122 0.021383180283010006
# epoch, loss:  123 0.01878529273111511
A checkpoint is saved at # epoch!  123
# epoch, loss:  124 0.020658542919490073
# epoch, loss:  125 0.021009083250882448
# epoch, loss:  126 0.020973437120793043
# epoch, loss:  127 0.019487169502234017
# epoch, loss:  128 0.021287356054893247
# epoch, loss:  129 0.02160767652094364
# epoch, loss:  130 0.020981376197327067
# epoch, loss:  131 0.020978899914081448
# epoch, loss:  132 0.019649068411025736
# epoch, loss:  133 0.02076277198890845
# epoch, loss:  134 0.02046673796657059
# epoch, loss:  135 0.01988468119115741
# epoch, loss:  136 0.01992668646077315
# epoch, loss:  137 0.01911067258980539
# epoch, loss:  138 0.019871622186016152
# epoch, loss:  139 0.017909705949326355
A checkpoint is saved at # epoch!  139
# epoch, loss:  140 0.018185607778529327
# epoch, loss:  141 0.01783160585910082
A checkpoint is saved at # epoch!  141
# epoch, loss:  142 0.017729958657313277
A checkpoint is saved at # epoch!  142
# epoch, loss:  143 0.017953233551923877
# epoch, loss:  144 0.016833352614884025
A checkpoint is saved at # epoch!  144
# epoch, loss:  145 0.01885640721216246
# epoch, loss:  146 0.018370297426978748
# epoch, loss:  147 0.017455584955988108
# epoch, loss:  148 0.0170525000948045
# epoch, loss:  149 0.01709753868204576
# epoch, loss:  150 0.016721054946106893
A checkpoint is saved at # epoch!  150
# epoch, loss:  151 0.016239861233366862
A checkpoint is saved at # epoch!  151
